kills,dpm,damageshare,earned gpm,earnedgoldshare,minionkills,cspm,goldat15,csat15,killsat15
3,679.7901,0.354251,329.7451,0.271984,323,11.0945,6481,158,2
0,154.4484,0.174111,276.942,0.271581,335,11.2981,5236,156,0
3,287.7476,0.23178,370.4669,0.29305,341,11.4212,5955,155,1
1,411.4689,0.276352,305.5515,0.233331,300,10.162,5507,145,0
0,175.4208,0.166231,231.0925,0.271523,299,9.5348,4899,132,0
5,394.9051,0.214405,318.3228,0.229366,228,8.0063,4314,97,0
2,479.462,0.352562,273.9873,0.269758,293,9.9051,6469,137,2
6,581.0719,0.242681,316.7707,0.219854,198,8.6703,5345,124,2
0,300.8141,0.158928,165.0204,0.206825,166,6.9199,4369,101,0
10,924.5895,0.330119,370.8211,0.333846,464,10.4421,5336,156,0
9,856.6947,0.373101,333.4105,0.309203,422,10.4211,5018,141,0
6,278.1515,0.251218,371.697,0.295286,291,10.3939,6261,137,1
1,244.7576,0.243422,236.8182,0.279884,280,9.3333,4551,118,0
3,286.9399,0.172103,280.3619,0.227148,262,9.1644,4666,126,0
2,249.4199,0.174708,250.0266,0.264614,281,9.7392,5672,143,2
5,402.1546,0.234509,289.5176,0.285358,291,8.5152,4980,126,1
8,695.3536,0.302496,370.8478,0.283968,307,9.5831,5454,124,1
6,652.2467,0.268072,357.7386,0.266656,297,10.0734,5644,157,1
5,501.2628,0.246633,284.3172,0.258369,270,8.1645,4917,139,0
8,756.5658,0.235006,394.3279,0.248248,216,10.007,5407,138,1
2,306.2913,0.172825,270.0633,0.328638,185,7.9803,4923,131,0
4,327.7727,0.217562,304.8848,0.33307,292,9.831,4539,115,0
3,322.9493,0.199404,346.0522,0.279466,311,10.5376,6744,156,0
6,635.6161,0.267683,374.2138,0.249159,220,9.5575,7311,157,3
0,283.3764,0.236719,179.5507,0.247207,180,7.7604,4561,119,0
0,361.1365,0.265241,224.2848,0.30108,244,9.7191,4822,129,0
5,430.5813,0.212071,367.4461,0.254374,244,10.6597,5716,139,1
7,444.2864,0.212012,327.312,0.241679,309,8.9689,5516,135,2
2,443.557,0.249696,300.4863,0.286717,346,9.9415,5273,131,0
4,518.1105,0.265754,343.9216,0.262567,237,9.1266,6424,146,1
2,194.4385,0.111077,208.057,0.220626,199,7.5936,4398,113,0
7,444.5402,0.192808,348.312,0.28207,374,9.546,5744,126,1
2,288.2654,0.162589,268.9173,0.257236,384,10.1281,5252,132,1
0,319.4713,0.217577,197.1429,0.22086,242,8.4364,4783,133,0
2,235.3093,0.136,250.8324,0.19276,239,8.4702,4722,124,0
0,142.4702,0.0826599,232.381,0.192291,281,8.9583,4605,122,0
3,285.5952,0.189633,278.869,0.27241,290,9.3452,5175,142,0
4,374.7841,0.174479,303.9033,0.25741,264,9.7755,5270,150,0
0,297.8238,0.214472,226.9085,0.245122,277,9.8446,5091,146,0
8,631.7606,0.25583,362.5201,0.340359,239,8.389,5803,123,2
