kills,assists,dpm,damageshare,damagetakenperminute,earned gpm,cspm,goldat15,csat15,killsat15,assistsat15
5,9,321.0756,0.135217,670.2927,333.002,8.373,6235,138,1,1
1,0,362.0422,0.302433,383.0361,184.8604,8.2505,4735,134,0,0
0,0,159.9739,0.117495,454.3305,125.565,6.2312,4355,115,0,0
4,6,489.6799,0.241179,219.582,351.6917,9.7191,7535,163,3,2
4,8,559.991,0.267226,307.321,303.4309,9.3742,5087,136,0,0
1,2,263.8001,0.148504,744.3134,176.5421,6.8618,4944,112,1,0
4,8,399.0018,0.204659,388.877,313.369,9.8039,6227,167,2,1
4,2,640.3565,0.365817,205.0267,331.7647,12.2282,5338,157,0,0
5,10,809.5227,0.35111,269.6158,271.0594,7.8696,5332,113,2,3
0,9,294.0163,0.165833,955.6694,232.6426,8.1024,5363,118,0,3
0,3,375.4218,0.255682,500.1125,228.2227,10.2587,5405,157,0,1
6,5,611.6423,0.353507,332.4634,338.1665,9.5838,5948,146,1,1
7,5,539.7619,0.313165,451.9048,339.4048,9.9107,5888,136,2,1
3,3,620.1488,0.411774,335.744,307.0833,10.8929,5589,156,0,1
2,7,835.7168,0.389065,341.1054,279.1019,9.0846,5559,152,0,0
0,4,429.7064,0.309445,359.4473,191.7444,8.152,4903,132,0,2
4,7,770.023,0.311818,496.985,241.4154,7.6295,5180,137,0,2
9,8,828.8493,0.274329,492.5662,336.6628,8.389,6127,150,1,1
7,7,624.4611,0.314379,350.0163,280.0521,8.8505,5321,136,1,1
6,7,655.4673,0.271927,384.1094,259.5181,8.2839,5213,150,0,3
3,7,647.8325,0.303608,250.9345,309.4223,8.9337,6899,162,2,4
3,8,476.8592,0.276531,387.0105,245.1881,8.701,5181,136,1,1
4,1,581.5385,0.330007,250.2564,306.6365,10.1961,5779,153,1,0
3,5,301.5686,0.17491,337.2549,313.1222,9.8643,5676,166,0,0
8,13,665.3477,0.310729,324.7722,320.8153,9.0887,5302,156,0,1
2,8,373.3333,0.191338,440.5036,270.5995,7.8177,5799,144,0,2
1,2,432.9871,0.308938,464.0206,232.6272,9.3779,4966,141,0,0
3,9,521.6452,0.269714,375.5476,338.7147,10.7352,5715,157,0,1
2,20,535.4158,0.178198,875.052,244.9272,6.0187,4770,106,0,5
0,3,563.3888,0.242393,446.6632,245.4886,9.8233,5473,152,0,0
7,8,624.4475,0.203995,1175.9618,307.4761,8.8131,5400,151,0,1
0,7,333.2879,0.111947,713.2879,152.6876,4.8295,3957,91,0,0
3,6,649.5852,0.318998,464.0175,284.1812,9.2358,4859,134,0,1
1,14,1085.3712,0.374989,230.8297,335.0109,10.0218,6305,164,1,0
1,2,354.8882,0.244939,379.9758,224.4471,9.2085,5627,139,1,1
2,5,449.6193,0.25717,405.2085,326.429,11.1299,6268,153,1,3
3,8,596.8712,0.273911,442.0123,277.1411,8.5767,5025,133,0,0
3,3,406.2699,0.233884,781.6933,205.3252,6.6626,4862,125,0,3
2,9,527.2654,0.30083,353.9187,260.3512,8.4596,5372,156,0,0
0,4,404.6463,0.302031,299.3076,194.7817,7.9779,5439,159,0,0
5,12,642.7912,0.352001,428.2504,292.7963,8.312,5274,134,1,1
5,8,837.845,0.360654,309.3894,253.3915,7.9425,5190,138,1,0
2,8,380.5781,0.192923,239.2329,234.3635,7.771,4942,139,0,0
1,1,467.4263,0.412376,403.791,259.4441,9.672,6211,171,0,0
3,6,349.151,0.224568,341.8265,294.2726,9.1969,5573,164,0,0
1,6,360.3304,0.257107,346.7554,252.5287,9.5273,5249,152,0,0
6,5,406.4156,0.324831,246.2831,301.8874,9.0397,6380,162,2,1
