kills,assists,damagetakenperminute,damagemitigatedperminute,goldat15,csat15,killsat15,assistsat15
1,2,616.809,435.7204,5360,124,1,1
2,6,641.5098,1739.0253,4776,105,1,1
0,0,692.1644,625.0549,4486,120,0,0
2,10,853.1465,1728.3822,4718,106,0,3
3,0,923.4268,790.0127,5124,79,3,0
3,9,618.0619,1037.0412,4798,105,1,1
2,2,516.7423,442.2062,7501,150,2,0
0,3,1048.6905,788.3631,4322,103,0,0
9,6,1056.6667,896.8452,6729,131,3,2
1,9,611.1906,597.6699,5761,127,0,1
1,2,711.2008,628.4211,4616,116,0,1
3,5,543.2009,541.7367,4863,122,0,0
0,1,429.2963,365.1078,5367,139,0,1
2,2,488.4813,312.7693,5205,147,0,0
4,11,656.9732,980.3994,4958,132,0,0
0,5,788.1685,623.0155,5305,143,0,0
1,14,725.0554,1800.7184,4584,129,0,0
1,7,1294.5889,1528.4006,4454,110,0,1
6,11,969.9851,894.8281,4988,116,0,3
3,3,594.8333,463.25,6449,138,3,1
7,8,615.0556,905.3056,4341,108,0,1
3,10,940.1789,1421.8307,5320,123,2,1
1,2,1022.6015,730.4886,4825,124,0,1
1,5,1068.5615,1009.5754,5058,142,0,0
1,14,424.8354,667.0971,4947,137,0,0
5,7,938.33,1258.666,5395,126,2,1
2,4,685.4051,1636.1265,5393,129,1,0
0,7,545.2898,821.9112,4460,117,0,0
1,4,698.1381,614.7226,5145,122,0,2
1,8,845.0921,1141.8332,4966,148,0,0
0,1,747.2066,1465.3443,5241,121,0,1
2,9,818.7673,2324.0503,4822,131,0,0
0,1,1113.8113,1181.9874,5331,157,0,0
0,2,979.1658,852.5738,4921,140,0,0
0,8,855.9919,2064.6897,5214,138,0,1
0,15,677.5642,950.2914,4897,138,0,0
7,9,1010.6568,1114.0844,5327,138,0,0
4,8,1018.988,1074.1012,4943,126,0,0
1,4,510.5928,485.494,5143,142,0,1
2,12,869.7073,900.4837,5893,115,1,2
3,6,485.524,349.4357,5521,120,1,0
3,1,634.7864,494.2462,4929,107,2,0
0,8,764.0201,501.6709,5461,121,0,1
4,4,754.9844,529.1589,5690,139,1,0
2,3,947.1651,1099.4393,4942,118,1,1
1,2,845.4987,887.7898,4685,122,0,0
2,10,957.372,631.6577,5912,146,1,2
1,8,423.5785,393.34,5628,136,1,0
0,0,365.9344,217.336,4966,138,0,0
0,5,512.2054,828.273,5114,144,0,0
0,0,703.8623,888.3431,4652,126,0,0
0,5,672.447,948.3782,5096,139,0,1
1,7,523.0831,685.5473,5290,149,0,0
0,7,945.1709,891.4812,5069,129,0,1
4,8,915.4864,1380.0789,4672,104,1,1
7,6,664.514,502.7696,6596,132,3,0
0,0,637.6698,564.8069,4448,114,0,0
4,9,542.2887,491.5596,4763,125,0,0
3,0,773.887,733.6456,5878,140,1,0
2,11,832.5794,2001.3378,4801,127,0,1
1,8,877.8537,1555.3802,5124,128,1,0
6,9,478.6547,344.2265,5675,130,2,2
1,2,690.639,556.6816,4592,90,1,1
0,0,479.1868,540.5657,5178,137,0,0
0,3,636.5586,431.703,4882,133,0,0
0,6,406.2028,559.7614,4525,118,0,1
3,1,567.2366,425.6859,5014,128,1,0
2,3,1160.992,2034.816,5277,146,0,1
1,3,743.616,714.688,5202,143,0,0
0,5,569.907,1052.1017,4801,120,0,1
3,3,786.6584,501.6119,5093,138,0,0
2,7,653.4368,1143.459,5379,143,1,1
1,3,883.5033,2368.4922,4884,132,0,0
0,1,556.1511,1174.4245,4787,128,0,0
3,2,775.8993,1236.5468,4953,138,0,0
2,6,916.9965,1322.142,4159,94,0,0
3,8,961.8161,1102.7008,6509,137,1,2
2,11,493.5126,399.6303,5699,127,1,3
2,4,900.1681,574.1849,5501,132,1,1
3,1,972.267,599.2063,5416,102,2,0
7,9,522.6819,345.3157,7393,137,5,5
0,2,880.8856,840.2837,5037,139,0,1
2,8,829.1144,1369.9398,4975,131,0,1
1,2,840.4125,662.625,5254,121,1,1
1,6,853.2,820.6875,6056,136,1,1
4,4,533.8484,316.9837,6025,123,2,0
1,0,936.0178,541.6493,5043,124,1,0
1,8,910.2128,736.117,5363,142,0,3
0,2,745.9468,835.6915,4696,123,0,0
2,0,710.3878,497.5102,5367,148,0,0
2,7,880.1939,1991.1122,4558,118,0,0
2,0,786.8037,874.5756,4929,124,1,0
6,8,843.1432,556.7905,5336,125,1,1
3,6,673.5738,666.5574,6278,148,1,0
0,5,542.918,927.4426,4480,110,0,2
2,7,951.4606,967.9917,6564,158,1,1
1,3,529.8672,409.3195,5147,139,0,0
1,9,503.1729,407.1335,6088,143,1,1
0,2,723.6761,516.5317,4485,119,0,1
1,3,550.8401,331.6397,4691,110,1,0
5,7,594.5344,601.002,5693,115,3,2
6,7,888.6116,432.9958,5307,131,0,1
0,11,1120.8494,1350.9115,4383,112,0,2
0,3,702.1282,787.3197,4212,101,0,0
2,11,817.9875,561.024,4754,114,0,4
3,7,595.1961,774.0999,4632,122,0,0
0,8,1095.798,1642.6975,4864,113,0,2
1,7,713.5176,820.2211,5910,136,1,3
1,1,689.0653,804.5729,4280,103,0,0
5,6,339.4831,477.4354,5629,136,0,2
1,1,746.4215,584.1948,4611,118,0,1
6,5,724.4804,842.8684,5115,134,0,0
2,4,452.2876,383.0186,5029,138,0,0
7,6,687.7985,1031.424,6044,142,1,0
1,6,1080.4046,2380.6743,4610,105,0,4
3,3,644.3812,484.7414,5018,121,1,0
2,4,629.0761,523.1261,5542,125,1,1
1,1,839.2446,551.9424,5383,136,1,0
5,5,676.7626,456.9424,5563,110,2,1
2,7,575.3366,518.5222,4900,119,0,0
2,0,354.6798,243.2512,4913,115,1,0
0,4,831.6129,825.1613,5266,128,0,1
1,7,802.5484,1575.9032,5764,128,1,0
3,11,827.6411,808.5673,4810,112,0,2
2,7,761.3025,544.8915,6124,122,1,4
0,0,683.953,918.1802,5055,134,0,0
1,3,568.9682,1050.3004,4706,126,0,0
1,5,609.7667,1140.4044,4741,111,0,0
1,1,427.9316,306.4386,5754,131,1,0
3,2,409.0016,275.2456,5495,136,1,0
1,10,890.1426,1684.5959,5248,140,1,0
1,3,660.0857,1972.9714,4521,114,0,1
0,1,746.9143,866.2,5027,122,0,0
4,9,1060.8484,1436.4283,5165,127,0,1
2,9,579.8632,519.9247,4483,114,0,1
0,4,853.767,943.8202,5237,133,0,1
0,10,763.3944,1500.0355,6102,148,0,1
2,9,481.6029,591.5154,5331,155,0,0
3,1,779.0603,970.9166,5419,154,0,0
2,3,602.8817,460.3438,5840,124,1,1
3,7,564.4489,696.8857,4744,97,1,1
7,5,413.0435,461.8435,5882,143,2,0
0,4,392.6261,255.7913,4454,109,0,3
0,1,534.9474,338.6105,4785,133,0,1
2,11,547.4105,557.6421,6508,132,1,5
4,3,380.075,222.7392,6843,151,2,1
1,1,744.2026,460.1876,4480,121,0,0
1,12,904.2073,950.8014,4919,118,0,0
3,1,911.1847,820.2178,4800,130,0,0
5,2,679.3595,611.3862,6452,158,1,0
6,6,591.4532,672.8489,4948,126,1,0
0,3,591.3608,533.5996,6087,134,0,1
0,11,260.3073,233.9947,4802,132,0,0
0,2,648.0206,432.46,4760,127,0,0
3,11,815.8696,588.9474,5466,123,1,1
1,4,761.8146,646.2722,4629,111,0,0
0,1,431.6765,276.0158,4544,119,0,0
1,0,806.6466,847.3684,5085,143,0,0
2,10,634.5564,783.4586,4372,104,0,0
7,2,789.5827,697.7434,5706,142,1,0
2,1,651.2828,663.8949,4731,110,1,1
0,0,505.0664,354.5761,4545,118,0,0
2,2,220.9704,180.5209,5685,150,1,0
9,7,375.21,233.4524,5195,129,0,1
4,4,702.3563,668.3438,4872,121,0,1
5,8,546.2837,461.1185,5859,123,1,1
5,6,549.7306,421.9217,5066,108,2,3
4,5,692.5684,530.6948,4785,129,0,0
1,4,563.1017,616.19,4732,108,0,2
3,2,607.2079,430.3762,5067,95,1,1
4,3,565.1485,458.4554,5651,130,2,0
3,9,659.0189,648.9934,4866,109,1,2
4,2,752.8053,854.7471,7002,145,2,1
0,0,659.5504,614.3862,4830,134,0,0
5,9,581.2911,426.6744,5628,121,2,2
0,3,695.1052,754.1528,4918,123,0,0
1,4,629.3909,804.2968,4981,140,0,0
3,5,677.4389,775.2179,5836,130,0,0
5,13,798.1403,763.2944,5184,133,1,1
4,11,697.8175,679.356,5490,139,1,2
0,5,675.6351,442.0036,4852,130,0,1
0,1,762.7656,331.3997,5392,140,0,0
0,10,463.6762,315.683,5381,154,0,1
1,1,963.5522,749.4833,4649,125,0,0
3,7,517.3305,352.4112,6643,139,2,1
0,8,359.9501,246.5808,5984,137,0,1
0,1,618.0723,469.2065,4668,121,0,0
0,6,515.7856,390.9301,5220,143,0,1
2,0,544.288,496.3636,5134,133,1,0
4,7,961.6653,1013.3886,6889,154,1,2
2,6,865.2527,1080.3728,4561,120,0,0
3,7,701.2078,399.8934,4848,109,1,2
0,2,729.627,457.6554,4601,110,0,1
2,3,799.4044,625.8449,5656,153,1,1
4,5,474.5983,344.0859,5572,137,2,1
2,6,736.9801,1022.5926,5971,136,2,0
3,3,642.3362,678.1481,6445,118,2,0
2,4,789.5298,892.0537,5235,143,0,0
4,8,699.5873,700.4798,5413,136,1,2
4,8,490.7686,249.2979,6684,151,1,2
1,5,468.4337,427.528,4775,107,1,3
3,1,576.5127,382.8637,5020,123,1,1
2,6,457.8291,348.0831,5494,150,0,0
1,10,700.8934,833.4985,6878,138,1,2
2,1,598.222,567.7576,5000,123,1,0
3,3,586.3467,437.7245,5997,143,2,1
4,6,735.8626,733.405,5132,121,1,3
2,2,916.7296,868.8309,5998,135,1,0
1,4,673.9092,715.9984,4293,108,0,0
4,3,702.7875,580.9875,5883,131,2,0
2,9,777.7875,443.025,5335,126,1,2
3,1,906.845,774.5482,4637,125,0,0
5,9,705.9162,697.6779,6428,134,0,2
4,3,750.406,896.9202,4566,112,0,2
1,3,943.4811,876.2576,6714,153,1,1
1,3,888.7753,512.893,5168,123,0,1
7,7,708.9778,690.8968,5512,144,1,1
2,4,843.899,727.4758,4794,129,0,0
1,0,675.4028,850.2793,5028,118,1,0
2,6,715.1045,641.2443,5203,136,1,0
2,16,929.0974,1064.3957,5958,141,1,3
6,5,973.3844,898.8798,4882,121,1,0
3,11,696.3332,588.1379,4814,132,0,2
7,7,656.246,581.93,5098,113,0,2
2,2,522.3118,329.4592,4769,122,0,0
1,1,801.3904,606.4171,5541,148,0,0
6,4,616.0071,482.3173,5472,144,0,0
2,5,928.8101,1137.1646,5818,148,0,1
3,3,510.0253,489.2152,5172,142,0,0
0,0,517.5685,398.1588,4948,135,0,0
2,5,560.7871,379.1005,4847,128,0,0
1,2,524.4702,651.0017,4768,129,0,0
5,3,579.9884,505.1882,6553,143,1,1
1,8,626.3239,585.6236,4422,116,0,0
0,3,662.6915,485.3829,5468,142,0,1
3,5,477.4707,397.8122,5595,150,1,0
0,0,423.9701,429.8933,5002,139,0,0
1,0,635.0181,446.5665,4462,107,0,0
5,5,439.6375,426.7115,5832,147,1,1
4,4,435.3853,273.8014,5569,125,2,0
4,5,801.3185,681.3442,4756,103,1,0
1,1,533.8946,451.5806,6421,131,1,1
2,6,479.938,531.8182,4389,101,0,0
2,5,672.123,666.2079,4442,112,0,0
0,2,679.4436,454.5242,4687,124,0,0
3,6,632.8271,396.0865,4877,120,0,2
1,3,519.1796,293.082,5485,133,0,1
2,7,625.8018,530.6306,5200,132,0,1
