gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,5,Blue,sup,Pleata,oe:player:7fdedd3126915607d5c8f42f8239253,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Sett,2343,1,0,2,6,11,4,0,0,0,0,1,0,1,0,0.2817,0.3841,0,0,2969,76.0307,0.036741,399.8464,361.6389,73,1.8694,13,0.3329,20,110,2.8169,8196,3141,80.4353,0.0706988,7550,42,42,0,1.0755,2199,2318,17,2451,2458,8,-252,-140,9,0,1,0,0,0,0,3128,3534,23,3689,3501,13,-561,33,10,0,2,0,0,0,
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,10,Red,sup,Lehends,oe:player:e4e24b8656e4e6a74b939af730b0148,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Seraphine,2343,0,0,2,2,4,11,0,0,0,0,0,0,0,0,0.1024,0.3841,0,0,10407,266.5045,0.148993,238.5915,166.1716,56,1.4341,26,0.6658,17,125,3.201,8533,3478,89.0653,0.0960807,8125,47,47,0,1.2036,2451,2458,8,2199,2318,17,252,140,-9,0,0,0,0,1,0,3689,3501,13,3128,3534,23,561,-33,-10,0,0,0,0,2,
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,5,Blue,sup,Delight,oe:player:051ca2e31ba25123961b3df95fdef4c,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Thresh,1835,0,0,1,3,3,9,0,0,0,0,0,0,0,0,0.0981,0.3924,0,0,1298,42.4414,0.0302663,176.7302,149.2643,54,1.7657,21,0.6866,17,87,2.8447,6077,2058,67.2916,0.0701862,5725,49,49,0,1.6022,2032,2270,15,2057,2625,13,-25,-355,2,0,0,0,0,0,0,3234,3984,31,3006,3583,19,228,401,12,0,0,0,0,0,
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,10,Red,sup,Life,oe:player:dea5251e486aed942e1bc06e1d5c116,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Galio,1835,1,0,0,4,9,3,0,0,0,0,0,0,0,0,0.2943,0.3924,0,0,4493,146.9101,0.128298,244.6431,359.9673,61,1.9946,11,0.3597,20,79,2.5831,6981,2962,96.8501,0.0757099,6550,33,33,0,1.079,2057,2625,13,2032,2270,15,25,355,-2,0,0,0,0,0,0,3006,3583,19,3234,3984,31,-228,-401,-12,0,0,0,0,0,
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,5,Blue,sup,Life,oe:player:dea5251e486aed942e1bc06e1d5c116,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Nautilus,1664,1,0,2,13,21,6,0,0,0,0,0,0,0,0,0.7572,0.9736,0,0,3130,112.8606,0.057019,305.8053,325.2764,39,1.4063,10,0.3606,11,62,2.2356,6716,3046,109.8317,0.0745247,5375,33,32,1,1.1899,2203,2398,15,2297,2483,15,-94,-85,0,0,2,0,0,1,1,3373,3480,22,3541,3823,27,-168,-343,-5,0,4,1,0,2,
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,10,Red,sup,Delight,oe:player:051ca2e31ba25123961b3df95fdef4c,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Rell,1664,0,0,5,5,6,21,0,0,0,0,1,0,1,0,0.2163,0.9736,0,0,3800,137.0192,0.096454,468.3894,390.7933,45,1.6226,12,0.4327,16,73,2.6322,6012,2342,84.4471,0.0890122,5950,34,34,0,1.226,2297,2483,15,2203,2398,15,94,85,0,0,1,1,0,2,0,3541,3823,27,3373,3480,22,168,343,5,0,2,2,0,4,
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,5,Blue,sup,BeryL,oe:player:dee54127bb56d2e2540ba71cc416f1c,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Alistar,1887,0,1,2,0,3,13,0,0,0,0,0,0,0,0,0.0954,0.5087,0,0,2068,65.7552,0.0661824,350.9062,341.7806,57,1.8124,11,0.3498,19,85,2.7027,6389,2264,71.9873,0.0763327,6275,33,33,0,1.0493,2076,2658,14,2205,2488,14,-129,170,0,0,0,0,0,0,0,3365,4272,27,3283,3904,23,82,368,4,0,0,0,0,0,
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,10,Red,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Thresh,1887,1,0,0,11,13,3,0,0,0,0,0,0,0,0,0.4134,0.5087,0,0,3160,100.4769,0.0607926,245.8506,167.8219,49,1.558,7,0.2226,15,68,2.1622,7658,3533,112.337,0.0889085,6725,29,29,0,0.9221,2205,2488,14,2076,2658,14,129,-170,0,0,0,0,0,0,0,3283,3904,23,3365,4272,27,-82,-368,-4,0,0,0,0,0,
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Galio,2002,0,2,4,2,5,18,0,0,0,0,0,0,0,0,0.1499,0.6893,0,0,5581,167.2627,0.126107,401.3586,567.5425,61,1.8282,12,0.3596,25,86,2.5774,7872,3512,105.2547,0.116725,7425,33,33,0,0.989,2048,2127,12,2340,2511,19,-292,-384,-7,0,0,1,0,3,0,3082,3082,21,3383,3285,26,-301,-203,-5,0,0,1,0,3,
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,10,Red,sup,BeryL,oe:player:dee54127bb56d2e2540ba71cc416f1c,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Alistar,2002,1,0,2,12,18,5,0,0,0,0,1,0,1,0,0.5395,0.6893,0,0,4928,147.6923,0.0656979,517.1029,406.5435,60,1.7982,18,0.5395,22,111,3.3267,7890,3530,105.7942,0.0815852,6900,42,42,0,1.2587,2340,2511,19,2048,2127,12,292,384,7,0,3,0,0,0,1,3383,3285,26,3082,3082,21,301,203,5,0,3,0,0,0,
