gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,2,Blue,jng,Pyosik,oe:player:a2357eb17578485c2ba736db36cbc42,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Kindred,2343,1,3,2,6,11,4,0,0,0,0,1,1,0,0,0.2817,0.3841,1,0,19125,489.7567,0.236669,745.9155,429.8592,9,0.2305,27,0.6914,7,71,1.8182,14932,9877,252.9321,0.222331,13400,306,80,226,7.8361,3477,3366,62,3178,3671,71,299,-305,-9,1,0,0,0,0,1,5257,6147,111,5190,5799,102,67,348,9,1,1,1,0,1,1
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,7,Red,jng,Dread,oe:player:5fac949d3a1a7631ddaef68ea4cbe1e,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Graves,2343,0,0,3,3,4,11,0,0,0,0,0,0,0,1,0.1024,0.3841,0,1,5482,140.3841,0.0784836,575.4673,383.4315,14,0.3585,21,0.5378,13,75,1.9206,12615,7560,193.598,0.208857,12375,275,98,177,7.0423,3178,3671,71,3477,3366,62,-299,305,9,0,0,1,1,0,0,5190,5799,102,5257,6147,111,-67,-348,-9,0,1,1,1,1,1
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,2,Blue,jng,UmTi,oe:player:1970fcb701acce66e0771946bbb3105,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Nidalee,1835,0,0,1,3,3,9,0,0,0,0,0,0,0,0,0.0981,0.3924,0,0,5155,168.5559,0.120202,845.9183,450.3433,43,1.406,37,1.2098,8,112,3.6621,9673,5654,184.8719,0.192824,9650,221,57,164,7.2262,3392,3966,80,3425,3985,75,-33,-19,5,0,0,0,0,1,0,4881,5736,116,4943,6026,116,-62,-290,0,0,0,0,0,1,0
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,7,Red,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Lillia,1835,1,0,1,2,9,3,0,0,0,0,0,0,0,0,0.2943,0.3924,0,0,2980,97.4387,0.0850942,930.2452,396.1308,30,0.9809,16,0.5232,13,61,1.9946,9879,5860,191.6076,0.149784,8625,201,32,169,6.5722,3425,3985,75,3392,3966,80,33,19,-5,0,1,0,0,0,0,4943,6026,116,4881,5736,116,62,290,0,0,1,0,0,0,0
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,2,Blue,jng,Clid,oe:player:d3abb04a273ed8615be5f54a391818e,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Taliyah,1664,1,2,1,9,21,6,0,0,0,0,0,0,0,0,0.7572,0.9736,0,0,8608,310.3846,0.156811,689.351,354.2308,29,1.0457,12,0.4327,11,72,2.5962,10732,7062,254.6394,0.172787,10425,195,26,169,7.0313,3308,3676,65,3280,3769,73,28,-93,-8,0,2,0,0,0,0,5555,6357,110,4976,5442,103,579,915,7,0,3,0,1,0,1
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,7,Red,jng,UmTi,oe:player:1970fcb701acce66e0771946bbb3105,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Nidalee,1664,0,1,3,2,6,21,0,0,0,0,0,0,0,0,0.2163,0.9736,0,0,6350,228.9663,0.16118,968.0048,438.4976,24,0.8654,10,0.3606,10,44,1.5865,8164,4494,162.0433,0.170809,8050,161,28,133,5.8053,3280,3769,73,3308,3676,65,-28,93,8,0,0,0,0,2,0,4976,5442,103,5555,6357,110,-579,-915,-7,1,0,1,0,3,0
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,2,Blue,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Nidalee,1887,0,2,4,1,3,13,0,0,0,0,0,0,0,1,0.0954,0.5087,0,0,12707,404.0382,0.406663,871.5739,380.7949,10,0.318,17,0.5405,8,53,1.6852,9937,5812,184.8013,0.195961,9400,187,23,164,5.9459,3214,3498,67,3707,4567,82,-493,-1069,-15,0,0,1,0,1,0,5126,5925,105,5405,6488,122,-279,-563,-17,1,0,1,0,1,0
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,7,Red,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Lillia,1887,1,0,1,7,13,3,0,0,0,0,1,0,1,0,0.4134,0.5087,0,0,8067,256.5024,0.155194,775.6121,491.0652,14,0.4452,15,0.4769,12,60,1.9078,10657,6532,207.6948,0.16438,9350,205,30,175,6.5183,3707,4567,82,3214,3498,67,493,1069,15,0,1,0,0,0,1,5405,6488,122,5126,5925,105,279,563,17,0,1,0,1,0,1
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,2,Blue,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Olaf,2002,0,0,4,4,5,18,0,0,0,0,0,0,0,0,0.1499,0.6893,0,0,5168,154.8851,0.116775,929.6404,813.6863,15,0.4496,14,0.4196,15,55,1.6484,9179,4819,144.4256,0.16016,8975,177,18,159,5.3047,3190,3258,65,3470,3959,75,-280,-701,-10,0,1,1,0,3,0,4807,5688,106,5222,6074,116,-415,-386,-10,0,1,1,0,3,0
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,7,Red,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Graves,2002,1,2,0,10,18,5,0,0,0,0,1,0,1,0,0.5395,0.6893,0,0,14300,428.5714,0.190641,586.2438,392.3377,17,0.5095,23,0.6893,11,65,1.9481,12603,8243,247.043,0.190502,11425,246,43,203,7.3726,3470,3959,75,3190,3258,65,280,701,10,0,3,0,0,1,1,5222,6074,116,4807,5688,106,415,386,10,0,3,0,0,1,1
ESPORTSTMNT01/1691118,complete,LCK,2021,0,2021/1/15 12:21,3,11.01,2,Blue,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Olaf,2463,1,1,3,15,17,18,0,0,0,0,0,0,0,0,0.4141,0.8526,1,0,13449,327.6248,0.167008,905.2375,812.57,15,0.3654,26,0.6334,14,81,1.9732,14407,9107,221.8514,0.169055,12450,227,65,162,5.5298,3185,3689,73,3390,4034,72,-205,-345,1,0,0,0,0,0,0,4898,5297,98,5384,6262,105,-486,-965,-7,0,1,0,1,3,0
ESPORTSTMNT01/1691118,complete,LCK,2021,0,2021/1/15 12:21,3,11.01,7,Red,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Lillia,2463,0,1,3,15,18,17,0,0,0,0,0,0,0,0,0.4385,0.8526,0,1,11020,268.4531,0.154582,711.3033,446.2119,22,0.5359,17,0.4141,20,64,1.5591,11612,6312,153.7637,0.135899,11200,184,36,148,4.4823,3390,4034,72,3185,3689,73,205,345,-1,0,0,0,0,0,0,5384,6262,105,4898,5297,98,486,965,7,1,3,0,0,1,0
ESPORTSTMNT01/1691379,complete,LCK,2021,0,2021/1/16 6:07,1,11.01,2,Blue,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Graves,2070,0,2,3,2,5,15,0,0,0,0,0,0,0,1,0.1449,0.5797,0,0,7094,205.6232,0.192338,463.6522,293.913,20,0.5797,25,0.7246,17,75,2.1739,12389,7891,228.7246,0.237561,12050,240,66,174,6.9565,3265,3699,70,3525,3450,66,-260,249,4,0,0,1,1,0,0,5088,6388,116,5070,5287,93,18,1101,23,0,1,1,1,1,1
ESPORTSTMNT01/1691379,complete,LCK,2021,0,2021/1/16 6:07,1,11.01,7,Red,jng,Blank,oe:player:e4ef81cce7e4e10033ebb10962dfdd5,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Lillia,2070,1,4,1,7,15,5,0,0,0,0,1,1,0,0,0.4348,0.5797,0,0,7480,216.8116,0.132488,721.3043,394.9855,38,1.1014,15,0.4348,18,76,2.2029,12575,8077,234.1159,0.164731,10200,194,23,171,5.6232,3525,3450,66,3265,3699,70,260,-249,-4,1,0,0,0,0,1,5070,5287,93,5088,6388,116,-18,-1101,-23,1,1,1,0,1,1
ESPORTSTMNT01/1691409,complete,LCK,2021,0,2021/1/16 8:50,2,11.01,2,Blue,jng,Blank,oe:player:e4ef81cce7e4e10033ebb10962dfdd5,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Taliyah,1850,1,3,2,9,19,7,0,0,0,0,0,0,0,0,0.6162,0.8432,0,0,7229,234.4541,0.0967725,640.5081,276.3568,28,0.9081,13,0.4216,15,59,1.9135,10911,6861,222.5189,0.173592,10185,190,33,157,6.1622,3486,4184,78,3232,3686,71,254,498,7,0,0,0,0,0,0,5079,6293,119,5071,5601,100,8,692,19,0,0,0,1,0,0
ESPORTSTMNT01/1691409,complete,LCK,2021,0,2021/1/16 8:50,2,11.01,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Nidalee,1850,0,2,4,2,7,19,0,0,0,0,0,0,0,0,0.227,0.8432,0,0,10009,324.6162,0.259408,895.9135,453.9243,43,1.3946,27,0.8757,13,87,2.8216,9433,5383,174.5838,0.186522,9660,181,37,144,5.8703,3232,3686,71,3486,4184,78,-254,-498,-7,0,0,0,0,0,0,5071,5601,100,5079,6293,119,-8,-692,-19,1,0,0,0,0,0
ESPORTSTMNT01/1691411,complete,LCK,2021,0,2021/1/16 9:46,1,11.01,2,Blue,jng,Mir,oe:player:abfd02e2b6f54ea12bc17037b08ff86,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Taliyah,1659,1,4,1,7,21,5,0,0,0,0,1,1,0,0,0.7595,0.9403,0,0,11700,423.1465,0.176513,618.3002,306.6546,26,0.9403,12,0.434,8,68,2.4593,11028,7368,266.4738,0.1857,10350,187,21,166,6.7631,4140,4334,77,2921,3188,58,1219,1146,19,2,1,0,0,0,1,5768,6096,110,4449,5268,95,1319,828,15,2,1,0,0,0,1
ESPORTSTMNT01/1691411,complete,LCK,2021,0,2021/1/16 9:46,1,11.01,7,Red,jng,Pyosik,oe:player:a2357eb17578485c2ba736db36cbc42,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Lee Sin,1659,0,0,2,3,5,21,0,0,0,0,0,0,0,0,0.1808,0.9403,0,0,3856,139.4575,0.111794,907.8481,927.9204,16,0.5787,7,0.2532,9,29,1.0488,8507,4847,175.2984,0.194401,7950,177,24,153,6.4014,2921,3188,58,4140,4334,77,-1219,-1146,-19,0,0,1,2,1,0,4449,5268,95,5768,6096,110,-1319,-828,-15,0,0,1,2,1,0
