gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,3,Blue,mid,Quad,oe:player:e9017664588010860a92ceb5f8fcb82,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Orianna,2343,1,3,0,8,11,4,0,0,0,0,1,0,1,0,0.2817,0.3841,0,0,20967,536.927,0.259464,250.6786,238.3099,25,0.6402,16,0.4097,15,64,1.6389,16436,11381,291.4469,0.256187,15275,362,334,28,9.2702,3566,4852,98,3244,4454,87,322,398,11,0,1,0,0,0,0,5904,7406,150,5120,7447,136,784,-41,14,1,1,0,0,1,0
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,8,Red,mid,Fly,oe:player:6c1fa8d6ae91f559b9d317477dad3ea,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Zoe,2343,0,2,3,2,4,11,0,0,0,0,0,0,0,0,0.1024,0.3841,0,0,20507,525.1472,0.29359,397.8489,191.0883,23,0.589,11,0.2817,13,39,0.9987,12238,7183,183.9437,0.198442,11375,271,262,9,6.9398,3244,4454,87,3566,4852,98,-322,-398,-11,0,0,0,0,1,0,5120,7447,136,5904,7406,150,-784,41,-14,0,1,0,1,1,0
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,3,Blue,mid,Lava,oe:player:1d18fe2cdd43a72d46421ecfe81b599,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Zoe,1835,0,2,2,0,3,9,0,0,0,0,0,0,0,0,0.0981,0.3924,0,1,12180,398.2561,0.284009,410.158,214.7248,11,0.3597,10,0.327,6,33,1.079,10235,6216,203.248,0.211991,10050,243,235,8,7.9455,3095,4419,83,3860,4569,85,-765,-150,-2,0,0,1,2,0,0,4990,7464,142,5797,7505,143,-807,-41,-1,0,0,1,2,0,0
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,8,Red,mid,Bdd,oe:player:30361653a485a9609fb2d3aa073282c,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Syndra,1835,1,3,2,3,9,3,0,0,0,0,1,1,0,0,0.2943,0.3924,1,0,10426,340.9046,0.297716,378.1798,194.485,9,0.2943,2,0.0654,3,17,0.5559,11950,7931,259.3243,0.20272,12175,260,250,10,8.5014,3860,4569,85,3095,4419,83,765,150,2,2,0,0,0,0,1,5797,7505,143,4990,7464,142,807,41,1,2,0,0,0,0,1
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,3,Blue,mid,Bdd,oe:player:30361653a485a9609fb2d3aa073282c,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Orianna,1664,1,6,0,11,21,6,1,0,0,0,0,0,0,0,0.7572,0.9736,1,0,16291,587.4159,0.296772,275.8774,346.6587,10,0.3606,3,0.1082,3,22,0.7933,14340,10670,384.7356,0.261066,13225,289,269,20,10.4207,3727,4971,94,3045,4164,78,682,807,16,1,1,0,0,0,1,7521,8594,162,5280,7104,134,2241,1490,28,4,3,0,0,1,2
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,8,Red,mid,Lava,oe:player:1d18fe2cdd43a72d46421ecfe81b599,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Zoe,1664,0,0,4,2,6,21,0,0,0,0,0,0,0,0,0.2163,0.9736,0,1,6579,237.2236,0.166992,413.5817,235.8894,13,0.4688,3,0.1082,4,23,0.8293,9134,5464,197.0192,0.207678,8500,217,209,8,7.8245,3045,4164,78,3727,4971,94,-682,-807,-16,0,0,1,1,1,0,5280,7104,134,7521,8594,162,-2241,-1490,-28,0,1,2,4,3,0
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,3,Blue,mid,ShowMaker,oe:player:5f8ff49cd56eae61d635966b183a451,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Yone,1887,0,0,3,2,3,13,0,0,0,0,0,0,0,0,0.0954,0.5087,0,0,5923,188.3307,0.189554,351.7329,502.7663,20,0.6359,2,0.0636,10,47,1.4944,12369,8244,262.1304,0.277961,12775,312,288,24,9.9205,3116,4655,82,3123,4648,82,-7,7,0,0,0,0,0,0,0,5253,7881,138,4880,7275,134,373,606,4,0,1,0,0,0,1
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Azir,1887,1,2,2,8,13,3,0,0,0,0,0,0,0,0,0.4134,0.5087,0,0,13888,441.5898,0.26718,236.1844,152.7504,12,0.3816,8,0.2544,4,29,0.9221,12249,8124,258.3148,0.204444,10975,253,226,27,8.0445,3123,4648,82,3116,4655,82,7,-7,0,0,0,0,0,0,0,4880,7275,134,5253,7881,138,-373,-606,-4,0,0,1,0,1,0
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Azir,2002,0,0,2,4,5,18,0,0,0,0,0,0,0,0,0.1499,0.6893,0,0,12957,388.3217,0.292774,393.7163,223.7562,14,0.4196,10,0.2997,3,37,1.1089,11176,6816,204.2757,0.226527,10925,282,270,12,8.4515,3546,4855,93,3700,4564,88,-154,291,5,0,1,0,1,2,0,5196,7746,149,5905,7499,144,-709,247,5,0,1,0,1,2,0
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,8,Red,mid,ShowMaker,oe:player:5f8ff49cd56eae61d635966b183a451,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Zoe,2002,1,5,0,7,18,5,0,0,0,0,1,0,1,0,0.5395,0.6893,0,0,19630,588.3117,0.261698,325.6843,140.0799,16,0.4795,9,0.2697,6,43,1.2887,13784,9424,282.4376,0.217795,12850,272,244,28,8.1518,3700,4564,88,3546,4855,93,154,-291,-5,1,2,0,0,1,0,5905,7499,144,5196,7746,149,709,-247,-5,1,2,0,0,1,0
