kills,assists,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,earned gpm,monsterkills,killsat15,assistsat15
5,6,489.7504,0.240969,748.9868,566.9016,211.395,149,0,1
10,15,916.2562,0.284609,977.9029,723.589,386.981,124,1,2
0,4,428.0225,0.241512,1188.1773,570.6967,161.3371,131,0,0
0,3,297.02,0.197149,771.3671,420.1843,160.4301,155,0,1
3,9,262.3963,0.162016,819.4163,1096.1598,238.2488,173,1,3
6,8,503.7304,0.212141,588.8087,229.0946,314.0912,158,2,1
1,0,155.2485,0.129687,901.2253,661.7155,154.595,119,0,0
0,1,175.885,0.129181,627.7858,418.9811,180.0784,134,0,1
3,8,276.6819,0.136272,768.8308,461.659,265.3952,134,2,4
5,3,270.1486,0.128914,529.032,362.2692,224.6826,175,0,0
4,2,654.624,0.368514,733.8856,417.1094,251.9946,199,0,1
5,5,362.139,0.185751,1019.5009,662.8164,254.1176,130,1,3
0,1,103.7433,0.0592656,808.164,520,123.9572,123,0,0
3,9,423.0966,0.183507,778.3935,557.1828,203.6554,195,3,4
7,5,535.9022,0.302263,795.2969,523.3993,225.1921,221,5,0
2,2,166.198,0.11319,726.6817,415.1069,130.7312,99,2,0
2,7,291.3611,0.168396,826.4679,575.4331,252.7559,177,1,2
5,10,490.8036,0.28476,735.1786,441.7262,263.4524,151,2,4
3,4,122.619,0.0814181,786.25,653.8095,172.1726,119,1,0
5,3,435.0604,0.202541,883.7306,576.6149,280.2073,186,2,0
3,0,322.487,0.232233,1188.2902,1215.924,235.1641,189,1,0
2,9,497.9517,0.201644,1177.8366,711.9563,190.84,105,2,1
4,13,714.8907,0.236611,666.7664,399.3211,304.4189,225,1,3
8,12,387.5676,0.195117,894.0801,605.5096,229.1176,217,4,0
7,6,644.4676,0.267364,1029.2608,610.2182,246.213,261,4,0
4,7,502.2412,0.235376,888.5072,538.5343,255.2385,250,1,4
2,8,229.4145,0.133037,739.1237,451.2679,179.2323,187,0,1
0,5,286.1237,0.162367,926.6667,420.3017,168.5671,157,0,2
6,2,408.2655,0.236795,982.3228,539.457,285.8824,239,3,0
2,20,349.6882,0.163311,955.5156,1359.9281,252.6859,237,1,0
2,11,352.5659,0.180694,855.5396,875.7074,166.6667,162,1,2
0,2,126.8483,0.0905069,815.1054,907.6504,160.9049,158,0,0
3,7,424.9666,0.219727,949.5424,596.9152,227.1671,185,1,0
6,19,854.2827,0.284323,939.6985,687.0374,298.1601,205,3,4
0,5,122.3701,0.0526485,780.842,808.9397,104.6881,99,0,1
4,12,603.0559,0.197007,609.3861,282.8649,249.6589,179,1,3
5,7,918.7722,0.308604,1012.0055,636.2619,265.1023,192,1,1
4,4,270.524,0.132849,1377.7402,1168.3297,200.6332,111,2,0
2,7,196.5721,0.0679144,728.8428,1176.19,199.4214,136,1,0
2,2,288.7613,0.199299,572.7372,297.0634,195.8792,122,1,2
4,7,454.006,0.259679,845.2205,453.6073,285.0997,171,4,2
4,10,452.0245,0.207439,969.0552,465.0184,264.5521,139,0,0
0,4,274.6748,0.158127,796.2699,357.3129,174.2577,145,0,4
0,7,189.6036,0.108178,733.8786,429.8445,252.3733,217,0,0
0,5,117.2002,0.0874792,690.9483,550.8379,152.8751,167,0,1
2,9,223.8994,0.12261,847.9425,653.1042,166.4238,140,0,2
1,5,454.5716,0.195672,736.1313,388.4146,231.1955,201,1,1
3,8,341.2229,0.172973,932.7849,1073.7298,289.3941,206,0,1
0,1,177.5653,0.156653,904.4024,741.612,150.4169,143,0,0
1,6,258.2836,0.166124,822.9279,468.6278,248.9766,215,0,0
0,5,88.3341,0.0630293,908.8114,903.9101,174.7682,190,0,0
4,6,308.1954,0.246328,830.1656,467.6325,247.9222,246,1,2
0,7,120.9437,0.098803,801.9536,436.3162,206.1258,224,0,3
4,1,347.7815,0.260388,614.3709,424.0397,238.8411,184,1,1
4,6,215.298,0.160207,755.4305,407.649,253.5762,165,3,2
6,12,572.0074,0.21922,942.0994,499.779,317.9006,148,1,1
1,3,357.9374,0.196502,731.5654,424.4936,199.0792,172,0,0
3,6,301.7744,0.122361,721.166,448.4918,201.673,179,2,0
6,2,546.2104,0.24383,620.4309,523.4221,303.27,233,1,0
7,5,529.8333,0.229051,577.6333,423.7333,341.1,214,0,0
2,3,219.4667,0.121241,884.9667,707.7667,177.8333,141,1,0
