gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,4,Blue,bot,BAO,oe:player:6c1d0c529e73fe4c8b9a5306867c4bf,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Kai'Sa,2343,1,4,0,2,11,4,1,0,0,0,0,0,0,0,0.2817,0.3841,1,0,19087,488.7836,0.236199,419.7951,289.936,17,0.4353,10,0.2561,3,38,0.9731,17058,12003,307.3752,0.270188,14225,377,346,31,9.6543,2974,3032,73,3372,3485,88,-398,-453,-15,0,0,0,0,0,0,4853,5618,122,5315,5903,137,-462,-285,-15,0,0,0,0,0
ESPORTSTMNT03/1681511,complete,LCK,2021,0,2021/1/14 13:50,3,11.01,9,Red,bot,Bang,oe:player:526e67744f0b90739ec17c191c62d24,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Jhin,2343,0,1,0,2,4,11,0,0,0,0,0,0,0,0,0.1024,0.3841,0,1,12498,320.0512,0.178929,337.2599,183.201,23,0.589,6,0.1536,11,48,1.2292,14791,9736,249.3214,0.268976,14575,366,350,16,9.3726,3372,3485,88,2974,3032,73,398,453,15,0,0,0,0,0,0,5315,5903,137,4853,5618,122,462,285,15,0,0,0,0,0
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,4,Blue,bot,Hena,oe:player:9712524dc88851032bd53054f8b49b4,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Aphelios,1835,0,1,1,1,3,9,0,0,0,0,0,0,0,0,0.0981,0.3924,0,1,7068,231.1063,0.164809,253.2425,330.1144,16,0.5232,19,0.6213,11,39,1.2752,13031,9012,294.6703,0.307346,13125,353,328,25,11.5422,3372,3659,95,3447,3435,97,-75,224,-2,0,0,0,0,0,0,5959,6060,160,5396,5658,151,563,402,9,0,0,0,0,0
ESPORTSTMNT01/1691020,complete,LCK,2021,0,2021/1/15 5:53,1,11.01,9,Red,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Kai'Sa,1835,1,4,0,1,9,3,1,0,0,0,0,0,0,0,0.2943,0.3924,1,0,8879,290.3215,0.253541,282.4414,199.2262,39,1.2752,27,0.8828,8,79,2.5831,15395,11376,371.9673,0.290775,14125,373,350,23,12.1962,3447,3435,97,3372,3659,95,75,-224,2,0,0,0,0,0,0,5396,5658,151,5959,6060,160,-563,-402,-9,0,0,0,0,0
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,4,Blue,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Jhin,1664,1,7,1,9,21,6,2,1,0,0,0,0,0,1,0.7572,0.9736,1,0,15268,550.5288,0.278136,326.3582,147.4399,12,0.4327,10,0.3606,4,35,1.262,14821,11151,402.0793,0.272835,12300,282,266,16,10.1683,3329,3657,91,3818,3479,88,-489,178,3,0,1,1,1,0,0,6402,6617,147,5739,5644,145,663,973,2,2,3,1,1,1
ESPORTSTMNT01/1691048,complete,LCK,2021,0,2021/1/15 8:43,2,11.01,9,Red,bot,Hena,oe:player:9712524dc88851032bd53054f8b49b4,Fredit BRION,oe:team:75a7e5b883e51c7ec13e1580c0aa009,Aphelios,1664,0,3,4,2,6,21,0,0,0,0,1,1,0,0,0.2163,0.9736,0,1,12408,447.4038,0.314948,365.1202,267.3317,10,0.3606,6,0.2163,4,25,0.9014,11472,7802,281.3221,0.296544,11450,275,259,16,9.9159,3818,3479,88,3329,3657,91,489,-178,-3,1,0,0,0,1,1,5739,5644,145,6402,6617,147,-663,-973,-2,1,1,1,2,3
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,4,Blue,bot,Ghost,oe:player:78081d0b3c01f1f295d52d53744261a,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Samira,1887,0,0,2,1,3,13,0,0,0,0,0,0,0,0,0.0954,0.5087,0,3,3619,115.0715,0.115819,506.868,338.8553,15,0.4769,13,0.4134,8,41,1.3037,12073,7948,252.7186,0.26798,12000,322,305,17,10.2385,3366,3068,82,3433,3356,95,-67,-288,-13,0,0,0,0,0,0,5311,5399,144,5527,5563,156,-216,-164,-12,0,0,0,0,0
ESPORTSTMNT01/1691071,complete,LCK,2021,0,2021/1/15 9:38,1,11.01,9,Red,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Aphelios,1887,1,7,0,3,13,3,1,1,1,1,0,0,0,0,0.4134,0.5087,3,0,15474,492.0191,0.297691,203.8474,173.8633,14,0.4452,14,0.4452,6,52,1.6534,16857,12732,404.8331,0.320408,15200,366,346,20,11.6375,3433,3356,95,3366,3068,82,67,288,13,0,0,0,0,0,0,5527,5563,156,5311,5399,144,216,164,12,0,0,0,0,0
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,4,Blue,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Samira,2002,0,3,3,2,5,18,0,0,0,0,0,0,0,0,0.1499,0.6893,0,2,11961,358.4715,0.270268,583.8162,345.7043,15,0.4496,14,0.4196,6,51,1.5285,13594,9234,276.7433,0.306884,13675,345,341,4,10.3397,3736,3523,94,2933,2888,64,803,635,30,1,0,0,0,3,1,5769,6070,155,4890,5778,125,879,292,30,1,0,0,0,3
ESPORTSTMNT01/1691105,complete,LCK,2021,0,2021/1/15 11:21,2,11.01,9,Red,bot,Ghost,oe:player:78081d0b3c01f1f295d52d53744261a,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Kai'Sa,2002,1,4,2,10,18,5,1,1,0,0,1,0,1,0,0.5395,0.6893,2,0,14599,437.5325,0.194627,354.995,219.021,20,0.5994,8,0.2398,10,45,1.3487,14484,10124,303.4166,0.233971,12850,304,264,40,9.1109,2933,2888,64,3736,3523,94,-803,-635,-30,0,3,1,1,0,0,4890,5778,125,5769,6070,155,-879,-292,-30,0,3,1,1,0
ESPORTSTMNT01/1691118,complete,LCK,2021,0,2021/1/15 12:21,3,11.01,4,Blue,bot,Ghost,oe:player:78081d0b3c01f1f295d52d53744261a,DWG KIA,oe:team:2e79800a550f87f2378dbba9368396d,Kai'Sa,2463,1,10,3,3,17,18,2,1,0,0,0,0,0,1,0.4141,0.8526,2,0,17332,422.2168,0.215227,468.648,332.9354,19,0.4629,13,0.3167,7,48,1.1693,21673,16373,398.8551,0.303937,18525,400,348,52,9.7442,3021,3026,79,3902,3429,95,-881,-403,-16,0,0,1,1,0,0,4827,4945,118,6914,5923,157,-2087,-978,-39,1,0,2,4,1
ESPORTSTMNT01/1691118,complete,LCK,2021,0,2021/1/15 12:21,3,11.01,9,Red,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Samira,2463,0,10,2,6,18,17,2,1,1,0,1,1,0,0,0.4385,0.8526,0,2,21088,513.715,0.29581,531.7661,692.6918,19,0.4629,21,0.5116,9,75,1.827,21544,16244,395.7125,0.349741,22000,467,427,40,11.3764,3902,3429,95,3021,3026,79,881,403,16,1,0,0,0,0,1,6914,5923,157,4827,4945,118,2087,978,39,4,1,0,1,0
ESPORTSTMNT01/1691379,complete,LCK,2021,0,2021/1/16 6:07,1,11.01,4,Blue,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Samira,2070,0,0,2,1,5,15,0,0,0,0,0,0,0,0,0.1449,0.5797,0,0,4766,138.1449,0.129219,375.8551,288.3478,15,0.4348,18,0.5217,8,51,1.4783,13268,8770,254.2029,0.264025,13350,357,341,16,10.3478,3201,3309,86,3307,3494,89,-106,-185,-3,0,0,0,0,0,0,5030,6182,144,5294,6047,144,-264,135,0,0,0,0,0,0
ESPORTSTMNT01/1691379,complete,LCK,2021,0,2021/1/16 6:07,1,11.01,9,Red,bot,HyBriD,oe:player:d4236a5c6d033d0388ab042acd884f1,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Kai'Sa,2070,1,2,1,5,15,5,0,0,0,0,0,0,0,0,0.4348,0.5797,0,0,6454,187.0725,0.114315,299.7971,149.913,30,0.8696,15,0.4348,6,58,1.6812,17066,12568,364.2899,0.25633,15000,398,357,41,11.5362,3307,3494,89,3201,3309,86,106,185,3,0,0,0,0,0,0,5294,6047,144,5030,6182,144,264,-135,0,0,0,0,0,0
