"","result","teamkills","teamdeaths","team.kpm","dragons","firstbaron","barons","towers","dpm","damagetakenperminute","visionscore","vspm","totalgold","earned.gpm","minionkills","monsterkills","cspm","goldat15"
"1187",1,0.205882352941176,0.117647058823529,0.165618619844835,0.333333333333333,1,0.25,0.909090909090909,0.368541825370069,0.371008733687685,0.363214837712519,0.586154513888889,0.363545445840559,0.434292698064582,0.3928035982009,0.360801781737194,0.369844905311376,0.238122402412191
"1188",0,0.117647058823529,0.205882352941176,0.0946508779093508,0.5,0,0,0.181818181818182,0.310522528038812,0.346899457115041,0.244204018547141,0.331357364766082,0.270153525337532,0.175456786348841,0.298350824587706,0.387527839643653,0.209917731540439,0.306413495232662
"1189",0,0.264705882352941,0.323529411764706,0.157125357288689,0.666666666666667,0,0.25,0.454545454545455,0.292566981732706,0.27417660839003,0.616692426584235,0.711063139619883,0.50399506335713,0.26064930677867,0.508995502248876,0.505567928730512,0.168066860676257,0.342596365414392
"1190",1,0.323529411764706,0.264705882352941,0.192078399346672,0.333333333333333,1,0.5,0.727272727272727,0.354192040414746,0.304968755935719,0.48531684698609,0.503472222222222,0.554255194646296,0.363458333795579,0.535982008995502,0.5456570155902,0.223979391726669,0.198027870589194
"1191",0,0.735294117647059,0.647058823529412,0.626623111474071,0.333333333333333,0,0,0.0909090909090909,0.604480315465022,0.708903103225937,0.213292117465224,0.308570906432749,0.376972263301805,0.577990084086692,0.383808095952024,0.151447661469933,0.309622843418765,0.407057289544454
"1192",1,0.647058823529412,0.735294117647059,0.551408738260515,0.333333333333333,1,0.5,1,0.716143583259928,0.612451375014232,0.241112828438949,0.371664839181287,0.420018937983424,0.704372941584903,0.258620689655172,0.380846325167038,0.214512950382289,0.537364517969196
"1193",0,0.235294117647059,0.588235294117647,0.296774193548387,0.333333333333333,0,0,0.181818181818182,0.264433556292504,0.443607792944511,0.0633693972179289,0.177163285818713,0.129491121490355,0.416310398029886,0.152173913043478,0.140311804008909,0.377205002929513,0.363621546736207
"1194",1,0.588235294117647,0.235294117647059,0.741853817884851,0.166666666666667,1,0.25,0.909090909090909,0.412122107964126,0.405539607093364,0.126738794435858,0.389859740497076,0.238182379163963,0.88857691387376,0.146176911544228,0.169265033407572,0.388201569831347,0.731154755113683
"1195",1,0.5,0.205882352941176,0.528215598203348,0.166666666666667,1,0.25,1,0.547872153902277,0.194491993291519,0.210200927357032,0.485574287280702,0.319913608749774,0.826628256658352,0.278110944527736,0.354120267260579,0.596158222730112,0.455708581207726
"1196",0,0.205882352941176,0.5,0.217476521028991,0.5,0,0,0,0.163000286004458,0.54940199181797,0.100463678516229,0.177026224415205,0.16753731740273,0.272026765413934,0.256371814092954,0.182628062360802,0.400878369544691,0.335424985738734
"1197",0,0.264705882352941,0.852941176470588,0.229318089015925,0.166666666666667,1,0.25,0.272727272727273,0.351801903267939,0.688338918528643,0.168469860896445,0.218110380116959,0.287378578800098,0.342357425795278,0.290854572713643,0.21380846325167,0.19087347895351,0.172683562871812
"1198",1,0.852941176470588,0.264705882352941,0.738913842384647,0.5,0,0,0.909090909090909,0.706554013189888,0.419291822030494,0.319938176197836,0.567365679824562,0.387005138789884,0.639723275323079,0.279610194902549,0.300668151447661,0.227131644061805,0.536223616657159
